,predicted_mean
583,-2.7312443455228044
584,2.3282693628618087
585,-1.0811003268430177
586,-0.43430002437130355
587,-0.3996078152616169
588,1.8560053476421092
589,-0.4357118650535048
590,-2.304114510705636
591,-3.71487911772548
592,-3.2654049094810897
593,-2.0687166427390182
594,0.9778988700212352
595,-0.029274771535235278
596,0.07959419192196115
597,-0.6845161089232019
598,-2.3073267371402246
599,2.8288135312371043
600,-0.9760526196912946
601,0.7129421688782535
602,-0.05875369633997796
603,1.2002192973083057
604,-2.299984435226964
605,0.05444973688647892
606,-0.023593596391689786
607,1.2682146683543365
608,-2.6574648840752566
609,-4.069581687881451
610,-3.575140831419926
611,-2.568187562548323
612,6.189785917922784
