ds,yhat
2025-05-03,3.6432856881043154
2025-05-04,2.6524310951455616
2025-05-05,1.9066604037784758
2025-05-06,1.027851220423638
2025-05-07,1.1023853578426064
2025-05-08,2.0352966736048703
2025-05-09,2.5004460564232387
2025-05-10,3.1509492055282777
2025-05-11,2.6496105905973586
2025-05-12,2.2862818074927267
2025-05-13,1.4006929701337874
2025-05-14,1.2374361800428315
2025-05-15,1.5388290880748476
2025-05-16,1.2646451724513008
2025-05-17,1.3425995342889119
2025-05-18,1.1318801523856379
2025-05-19,1.20423091439175
2025-05-20,0.822601116428905
2025-05-21,0.7770074761451715
2025-05-22,1.0194218990812016
2025-05-23,0.877539510030694
2025-05-24,1.1875112374164123
2025-05-25,1.302091828711516
2025-05-26,1.5857508827704838
2025-05-27,1.1131935112302722
2025-05-28,0.9822995926371814
2025-05-29,1.3588024273874517
2025-05-30,1.625108401043164
2025-05-31,2.898881009242339
2025-06-01,3.8268712702720546
